Site,Grantor,Deed_Date,Liber_Folio,Acreage,Map,use type,Date_Built_Accepted,Building
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.109999999,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.178000003,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.179000005,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.179000005,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.179000005,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.149000004,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.149000004,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.149000004,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.149000004,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.246999994,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.252000004,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.252000004,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.226999998,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.219999999,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.137999997,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.216000006,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.184,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.144999996,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.222000003,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.612999976,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.171000004,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.169,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.181999996,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.209999993,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.238000005,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.263999999,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.280000001,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.317000002,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.31400001,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.238000005,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.238000005,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.179000005,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.179000005,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.179000005,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.179000005,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.179000005,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.179000005,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.149000004,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.149000004,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.149000004,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.149000004,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.149000004,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.149000004,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.149000004,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.179000005,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.179000005,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.179000005,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.179000005,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.179000005,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.261999995,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.27700001,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.179000005,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.167999998,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.239999995,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.256000012,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.233999997,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.238999993,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.275000006,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.147,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.144999996,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.135000005,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.155000001,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.305000007,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.398999989,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.252999991,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226 & *5732/672,0.490999997,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.163000003,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.179000005,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.172000006,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.149000004,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.149000004,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.149000004,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.149000004,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.149000004,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.561999977,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.504000008,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.224000007,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,Helen Giddings,2/8/91,2290/738,6.527200222,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,New Settler's Landing Associates Limited Partnership,8/10/89,2058/279,0.347000003,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,New Settler's Landing Associates Limited Partnership,8/10/89,2058/279,0.333000004,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,New Settler's Landing Associates Limited Partnership,8/10/89,2058/279,0.316000015,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,New Settler's Landing Associates Limited Partnership,8/10/89,2058/279,0.405999988,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,New Settler's Landing Associates Limited Partnership,8/10/89,2058/279,0.442999989,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,New Settler's Landing Associates Limited Partnership,8/10/89,2058/279,0.623000026,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,New Settler's Landing Associates Limited Partnership,8/10/89,2058/279,0.344000012,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,New Settler's Landing Associates Limited Partnership,8/10/89,2058/279,0.388000011,50,Park,N/A,Land
Patuxent Run,Howard Research and Development Corporation,6/25/99,4886/428,25.92499924,35,Park,N/A,Land
Patuxent Springs,"Winchester Homes, Inc.",5/9/96,3729/717,0.935000002,46,Park,N/A,Land
Patuxent Springs,"Winchester Homes, Inc.",5/9/96,3729/717,2.178999901,46,Park,N/A,Land
Patuxent Springs,"Winchester Homes, Inc.",5/9/96,3729/717,2.309999943,46,Park,N/A,Land
Patuxent Valley Overlook,"Jeffrey Neuman, Trustee",5/13/02,6266/303,1.991000056,17,Park,N/A,Land
Penn Shop-Communication Tower,N/A,,N/A,0,,Park,11/1/03,Land
Pindell Chase,Toll MD II Limited Partnership,6/4/03,8348/068,3.348999977,41,Park,N/A,Land
Pindell Crossing,"Pindell Woods, LLC",10/22/01,6614/338,2.937999964,41,Park,N/A,Land
Pine Orchard Water Pump Station,Greenewin #1 Joint Venture,2/17/86,1493/430,0,24,Park,6/30/94,Land
Pine Orchard Water Pump Station,Greenewin #1 Joint Venture,2/17/86,1493/430,0.675000012,24,Park,N/A,Land
Pine Orchard Weighing Station,State Highway Administration; Board of Public Works,3/4/75,733/562,1.539999962,24,Park,N/A,Land
Pine Ridge,IMG/Pine Ridge Associates Limited Partnership,8/12/97,1725/217,2.431999922,37,Park,N/A,Land
Pine Valley Sewage Pump Station,Maple C. Mellott and Martha F. Mellot,2/10/81,1046/692,0,46,Park,6/30/86,Land
Pine Valley Sewage Pump Station,Maple C. Mellott and Martha F. Mellott,2/10/81,1046/692,0.216999993,46,Park,N/A,Land
Plaza Area at Columbia Pike,"Ellicott Theatre, Inc.",6/10/47,198/264,0.75999999,25,Park,N/A,Land
Pleasant Chase,Howard County Housing Commission,2/24/97,3941/468,0.035999998,43,Park,N/A,Land
Pleasant Chase,Howard County Housing Commission,2/24/97,3941/468,0.035999998,43,Park,N/A,Land
Pleasant Chase,New Panorama Development Corporation,6/21/96,3762/500,0.035999998,43,Park,N/A,Land
Pleasant Chase,New Panorama Development Corporation,6/21/96,3762/500,0.035999998,43,Park,N/A,Land
Pleasant Chase,New Panorama Development Corporation,6/21/96,3762/500,0.035999998,43,Park,N/A,Land
Pleasant Chase,New Panorama Development Corporation,6/21/96,3762/500,0.035999998,43,Park,N/A,Land
Pleasant Chase,New Panorama Development Corporation,6/21/96,3762/500,0.035999998,43,Park,N/A,Land
Pleasant Chase,New Panorama Development Corporation,6/21/96,3762/500,0.035999998,43,Park,N/A,Land
Plumtree Branch Pathway,N/A,,N/A,0,,Park,6/30/95,Land
Poplar Springs,Kent W. Smith,8/26/04,8883/194,3.299000025,7,Park,N/A,Land
Poplar Springs,"Georgia Avenue Properties, Inc.",5/27/81,1060/470,3.766000032,7,Park,N/A,Land
Pratt Truss Bridge Historic Site,"William L. Amoroso, Jr., et al",12/20/76,802/355,2.789999962,42,Park,N/A,Land
Prince Property,"Joseph Leonard Litchfield, Jerry Clinton Litchfield and Warren David Litchfield",9/28/07,11000/260,1.620000005,46,Park,N/A,Land
R. Taylor Property,Richard F. Taylor and Kathleen P. Taylor,5/17/04,8721/209,2.755500078,25,Park,N/A,Land
Rausch Property,Noreen Mary Rausch and Patricia M. Ditman,4/15/03,7411/529,2.579999924,37,Park,N/A,Land
RCF Property,N/A,,N/A,0,,Park,9/25/12,Land
RCF Property,N/A,,N/A,0,,Park,9/25/12,Land
RCF Property,N/A,,N/A,0,,Park,9/25/12,Land
RCF Property,Maryland Environmental Service,9/25/12,14328/477,4.027900219,43,Park,N/A,Land
Rebecca Dorsey,The Palmetto Group Inc.,10/14/03,9019/239,0.436100006,43,Park,N/A,Land
Red Fox Estates,"Rafat, Inc.",12/13/01,5933/103,1.350000024,24,Park,N/A,Land
Red Fox Estates,"Rafat, Inc.",12/13/01,5933/103,0.769999981,24,Park,N/A,Land
Red Hill Branch Overlook,Morris LLC and R. Jacob Hikmat,2/14/03,7087/212,2.880000114,31,Park,N/A,Land
Reservoir Estates,CM Higdon LC,10/1/14,15941/227,1.916000009,46,Park,N/A,Land
Reservoir Estates,CM Higdon LC,10/1/14,15941/227,0.818000019,46,Park,N/A,Land
Reservoir Overlook,"Reservoir Overlook, L.C.",10/1/02,6531/059,7.55670023,46,Park,N/A,Land
Reservoir Overlook,Reservior Overlook LC,8/28/02,6531/068,5.744900227,46,Park,N/A,Land
Reservoir Overlook,Reservoir Overlook LC,8/28/02,6531/052,2.663800001,46,Park,N/A,Land
Reservoir Overlook Sewage Pump Station,"Reservoir Overlook, L.C.",4/27/01,5475/390,0,46,Park,2/28/01,Land
Reservoir Overlook Sewage Pump Station,"Reservoir Overlook, L.C.",4/27/01,5475/390,0.170000002,46,Park,N/A,Land
Rettger Property,Estate of Esther S. Rettger,7/28/00,5236/215,3.236000061,35,Park,N/A,Land
Rettger Property,Estate of Esther S. Rettger,7/28/00,5236/223,7.077000141,35,Park,N/A,Land
Revitz Property,Emerson Corporation,5/20/03,7562/171,5.762000084,47,Park,N/A,Land
Revitz Property,Emerson Corporation,5/20/03,7562/171,3.48300004,47,Park,N/A,Land
Rich Glow Acres,H. Allen Becker,7/29/93,3158/119,3.214999914,16,Park,N/A,Land
"River Hill, Village Of",The Howard Research and Development Corporation,3/31/05,9112/013,1.908800006,35,Park,N/A,Land
River Island Apartments,River Island Limited Partnership,12/18/74,709/355,4.725999832,47,Park,N/A,Land
Riverside,"Stanley Halle Communities, Inc.",1/31/84,1241/444,2.609999895,41,Park,N/A,Land
Riverside Estates,J. Michael Millard and Melisa B. Millard,3/13/08,11186/129,0.680000007,41,Park,N/A,Land
Riverside Estates,Carlos Garcia and Beatriz Garcia,2/15/06,10530/147,0.334899992,41,Park,N/A,Land
Riverside Estates,"Stanley Halle Communities, Inc.",7/23/84,1307/607,8.562000275,41,Park,N/A,Land
Riverside Estates,"Stanley Halle Communities, Inc.",7/23/84,1307/607,0.197600007,41,Park,N/A,Land
Riverside Estates,"Chesapeake Investors, Inc.",4/28/81,1051/454,0.449299991,41,Park,N/A,Land
Riverside Estates,"Chesapeake Investors, Inc.",4/28/81,1051/454,5.363999844,41,Park,N/A,Land
Riverside Estates,"Chesapeake Investors, Inc.",4/28/81,1051/454,4.731999874,41,Park,N/A,Land
Riverside Estates,"Chesapeake Investors, Inc.",4/28/81,1051/454,5.3677001,41,Park,N/A,Land
Riverside Overlook II,"Reuwer Long Term Holdings, LLC; State Board of Trustees of The Church of God for the District Composed of Maryland, Delaware and District of Columbia",11/18/09,12267/510,17.79299927,41,Park,N/A,Land
Riverwalk,CS Riverwalk LLC,5/17/11,3355/49,1.113499999,47,Park,N/A,Land
Riverwalk at Patapsco Park,"Eliot G. Striar, Successor Trustee and William G. Hodgson and Margaret I. Hodgson",10/3/03,8259/323 and 15381/248,14.39299965,17,Park,N/A,Land
Riverwood,"Winchester Homes, Inc. and Winchester Homes, Inc. Nominee for Elioak LLC",10/17/05,10017/378,11.40999985,29,Park,N/A,Land
Riverwood,"Winchester Homes, Inc. and Winchester Homes, Inc. Nominee for Elioak LLC",10/17/05,10017/378,2.960000038,29,Park,N/A,Land
Riverwood,"Winchester Homes, Inc. and Winchester Homes, Inc. Nominee for Elioak LLC",10/17/05,10017/378,9.81000042,29,Park,N/A,Land
Riverwood,"Winchester Homes, Inc. and Winchester Homes, Inc. Nominee for Elioak LLC",10/17/05,10017/378,14.06000042,29,Park,N/A,Land
Riverwood,"Winchester Homes, Inc. and Winchester Homes, Inc. Nominee for Elioak LLC",10/17/05,10017/378,5.460000038,29,Park,N/A,Land
Riverwood Shared Sewage Facility,Elioak LLC,12/14/07,11377/570,5.440000057,29,Park,N/A,Land
Riverwood Shared Sewage Facility,Elioak LLC,12/14/07,11377/570,1.379999995,29,Park,N/A,Land
"Riverwood, Phase 2",Elioak LLC,12/18/08,11592/117,3.670000076,29,Park,N/A,Land
"Riverwood, Phase 2",Elioak LLC,12/14/07,11377/604,1.269999981,29,Park,N/A,Land
"Riverwood, Phase 2",Elioak LLC,12/14/07,11377/604,1.139999986,29,Park,N/A,Land
"Riverwood, Phase 2",Elioak LLC,12/14/07,11377/604,0.709999979,29,Park,N/A,Land
"Riverwood, Phase 2","Elioak LLC, Wincherster Homes, Inc.",12/14/07,"11377/604, 13974/337",7.300000191,29,Park,N/A,Land
Robinson Nature Center,N/A,,N/A,0,,Park,8/25/14,Land
Robinson Nature Center,N/A,,N/A,0,,Park,6/14/14,Land
Robinson Nature Center,N/A,,N/A,0,,Park,7/1/11,Land
Robinson Nature Center,"The Middle Patuxent Nature Center Foundation, Inc.",2/18/05,8997/160,18.39699936,35,Park,N/A,Land
Rockburn Branch Park,N/A,,N/A,0,,Park,5/9/09,Land
Rockburn Branch Park,N/A,,N/A,0,,Park,3/23/07,Land
Rockburn Branch Park,N/A,,N/A,0,,Park,6/30/05,Land
Rockburn Branch Park,N/A,,N/A,0,,Park,6/30/05,Land
Rockburn Branch Park,N/A,,N/A,0,,Park,3/4/04,Land
Rockburn Branch Park,N/A,,N/A,0,,Park,6/30/00,Land
Rockburn Branch Park,N/A,,N/A,0,,Park,6/30/00,Land
Rockburn Branch Park,Leonard J. Gizinski,6/4/01,5557/115 & 6175/599*,9.592000008,37,Park,N/A,Land
Rockburn Branch Park,"Thompson, Elizabeth Jane",4/24/96,3718/563,0.98210001,37,Park,N/A,Land
Rockburn Branch Park,Nasser Rezai and Jeanette Rezai,9/30/94,3505/293,22.00300026,37,Park,N/A,Land
Rockburn Branch Park,N/A,9/30/94,3505/293,0,,Park,N/A,Land
Rockburn Branch Park,Joseph L. Davis,4/19/91,2326/279,2.364000082,31,Park,N/A,Land
Rockburn Branch Park,Larry L. Kessler & Joan A. Kessler,1/10/90,2116/250,3.012700081,31,Park,N/A,Land
Rockburn Branch Park,"Doyle, Carroll F. and Doyle, Madeline S.",12/29/86,1607/261,55.7179985,31,Park,N/A,Land
